Maria Mazza 	VN NN 
Maria Mazza 	VN NN 
Michael Göring 	VN NN 
Professor Michael Göring 	TIT VN NN 
Detlef Gottschalck 	VN NN 
Vorsitzende Richter 	TIT NN 
Otto Schily 	VN NN 
Bundesinnenminister Otto Schily 	TIT VN NN 
Shimon Stein 	VN NN 
Niels Hansen 	VN NN 
Udo Nagel 	VN NN 
Innensenator Udo Nagel 	TIT VN NN 
Rolf-Peter Rocke 	VN NN 
Beate Böttcher 	VN NN 
Beate Böttcher 	VN NN 
St . Nikolai 	TIT PU NN 
Rudolf Feige 	VN NN 
Johannes Westendorf 	VN NN 
Prof . Johannes Westendorf 	TIT PU VN NN 
Rainer Doleschall 	VN NN 
Ralf Kunz 	VN NN 
Polizeisprecher Ralf Kunz 	TIT VN NN 
Volker Okun 	VN NN 
Gerhard Fuchs 	VN NN 
Bezirksamtsleiter Gerhard Fuchs 	TIT VN NN 
Frank Schmidt 	VN NN 
Hildegund Bauer 	VN NN 
Moderatorin Hildegund Bauer 	TIT VN NN 
Klaus Peter Hesse 	VN VN NN 
Verkehrsexperten Klaus Peter Hesse 	TIT VN VN NN 
Birgit Enke 	VN NN 
Susanne Freese 	VN NN 
Susanne Freese 	VN NN 
Susanne Freese 	VN NN 
Susanne Freese 	VN NN 
Susanne Freese 	VN NN 
Susanne Freese 	VN NN 
Susanne Freese 	VN NN 
Susanne Freese 	VN NN 
Manfred Dankert 	VN NN 
Manfred Dankert 	VN NN 
Erich Loose 	VN NN 
Erich Loose 	VN NN 
Manfred Dankert 	VN NN 
Erich Loose 	VN NN 
Gitta Meyer 	VN NN 
Gewerkschaftssekretärin Gitta Meyer 	TIT VN NN 
Elisabeth Zahn 	VN NN 
Helgo Matthias Haak 	VN VN NN 
Holger Weißmann 	VN NN 
Elisabeth Zahn 	VN NN 
Pastor Haak 	VN NN 
Tobias Wriedt 	VN NN 
Pastor Haak 	VN NN 
Klaus Hempel 	VN NN 
Prof . Klaus Hempel 	TIT PU VN NN 
Uli Timm 	VN NN 
Rainer Winter 	VN NN 
Karin Wiedemann 	VN NN 
Uwe Stephenson 	VN NN 
Anita Klahn 	VN NN 
Uwe Stephenson 	VN NN 
Uwe Stephenson 	VN NN 
Brigitte Stein 	VN NN 
Ulla Thiele 	VN NN 
Frank Bloch 	VN NN 
Hendrike Heitmann 	VN NN 
